附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
索伦(四),11400021,江桥以下,兴安盟,洮尔河,5893,水位、径流、降水、蒸发,科右前旗索伦镇景阳屯,121,19,,46,35,,内蒙古水文总局,,A,
坦途,11420290,江桥以下,白城市,二龙涛河,,降水,镇赉县坦途镇,123,20,,46,11,,吉林省水文局,,A,
洮南(四),11400060,江桥以下,白城市,洮儿河,,降雨、水位、径流、蒸发、泥沙,洮南市向阳乡,122,49,,45,21,,吉林市省水文总局,,A,
五岔沟(二),11400011,江桥以下,兴安盟,洮尔河,1610,水位、径流、降水、蒸发,科右前旗阿尔山镇五岔沟,120,20,,46,45,,内蒙古水文总局,,A,
五棵树,11420008,江桥以下,白城市,二龙涛河,,降水,镇赉县五棵树乡,123,42,,46,04,,吉林省水文局,,A,
务本(六),11400140,江桥以下,白城市,洮儿河,4640,降雨、水位、径流,洮南市瓦房镇,122,19,,45,39,,吉林市省水文总局,,A,
协力,11420180,江桥以下,兴安盟,蛟流河,,降水,突泉县巨力乡协力屯,121,22,,45,50,,内蒙古水文总局,,A,
新立屯(洮儿河),11420260,江桥以下,白城市,旱河,,降水,洮安县大通乡,122,06,,45,32,,吉林省水文局,,A,
月亮泡水库,11400075,江桥以下,白城市,洮儿河,,降雨、水位、径流、降水,大安市月亮泡镇,124,01,,45,41,,吉林市省水文总局,,A,
镇赉,,江桥以下,白城,洮儿河,,雨量、蒸发,镇赉县城区,123,11,,45,51,,吉林省气象局,气象资料,A,
镇西(二),11400050,江桥以下,白城市,洮儿河,18462,降雨、水位、径流、泥沙,白城市市洮北区岭下镇,122,21,,45,51,,吉林市省水文总局,,A,
敖兰,11420470,江桥以下,兴安盟,杜其营子河,,降水,科尔沁右翼中旗西尔根苏木敖兰三队,121,7,,45,2,,内蒙古水文总局,,A,
八面山昭,11420590,江桥以下,白城市,霍林河,,降水,通榆县八面乡,123,15,,45,05,,吉林省水文局,,A,
巴仁哲里木,11420370,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗巴仁哲里木苏木,120,36,,45,33,,内蒙古水文总局,,A,
巴扎拉嘎,11420440,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗巴扎拉嘎苏木,121,6,,45,31,,内蒙古水文总局,,A,
白音胡硕(四)(渠道),11400196,江桥以下,兴安盟,霍林河,,水位、径流,科右中旗巴彦呼舒镇,121,26,,45,2,,,,A,
白云胡硕(四)(河道),11400195,江桥以下,兴安盟,霍林河,10355,水位、径流、降水,科右中旗巴彦呼舒镇,121,27,,45,3,,,,A,
宝日高,11420360,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗巴仁哲里木苏木宝日高,120,30,,45,33,,内蒙古水文总局,,A,
宝日巨力和,11420460,江桥以下,兴安盟,杜其营子河,,降水,科尔沁右翼中旗杜尔基苏木宝日巨力和,121,0,,45,6,,内蒙古水文总局,,A,
北太平山,20550600,江桥以下,松原市,霍林河,,降水,长岭县太平山镇,124,33,,44,12,,吉林省水文局,,A,
北正镇,20350800,江桥以下,松原市,霍林河,,降水,长岭县北正镇,123,24,,44,29,,吉林省水文局,,A,
代钦他拉,11420500,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗代钦他拉苏木,121,31,,45,13,,内蒙古水文总局,,A,
杜尔基,11420480,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗杜尔基苏木,121,13,,45,14,,内蒙古水文总局,,A,
杜尔基(河道),11400140,江桥以下,兴安盟,蛟流河,2012,水位、径流、泥沙、降水、蒸发,突泉县杜尔基镇律家沟,121,41,,45,36,,内蒙古水文总局,,A,
杜尔基(团结渠),11400132,江桥以下,兴安盟,蛟流河,,水位、径流,突泉县杜尔基镇小高家屯,121,36,,45,37,,内蒙古水文总局,,A,
哈日努拉,11420350,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗哈日努拉苏木,120,3,,45,37,,内蒙古水文总局,,A,
坤都冷(霍林河),11420430,江桥以下,兴安盟,坤都冷河,,降水,科尔沁右翼中旗坤都冷苏木,120,43,,45,22,,内蒙古水文总局,,A,
兰字,11420570,江桥以下,松原市,霍林河,,降水,乾安县兰字乡,123,32,,44,50,,吉林省水文局,,A,
平安(霍林河),11420600,江桥以下,白城市,霍林河,,降水,大安市新平安镇,123,40,,45,21,,吉林省水文局,,A,
前进,11420610,江桥以下,白城市,霍林河,,降水,大安市海坨乡,124,02,,45,16,,吉林省水文局,,A,
三团,20351600,江桥以下,松原市,霍林河,,降水,长岭县三团乡,123,41,,44,26,,吉林省水文局,,A,
双岗(二),11420580,江桥以下,白城市,霍林河,,降雨、水位、径流,通榆县龙山乡,122,52,,45,06,,吉林市省水利厅,,A,
吐列毛都,11400181,江桥以下,兴安盟,霍林河,8000,水位、径流、泥沙、降水、蒸发,科右中旗吐列毛都镇,120,54,,45,32,,内蒙古水文总局,,A,
吐列毛都农场,11420380,江桥以下,兴安盟,结增吐河,,降水,科尔沁右翼中旗吐列毛都农场,122,33,,45,42,,内蒙古水文总局,,A,
翁根,11420390,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗巴仁哲里木苏木东翁根,120,43,,45,31,,内蒙古水文总局,,A,
西尔根,11420490,江桥以下,兴安盟,霍林河,,降水,科尔沁右翼中旗西尔根苏木,121,18,,44,59,,内蒙古水文总局,,A,
西太平川,20351200,江桥以下,松原市,霍林河,,降水,长岭县太平川镇,123,11,,44,24,,吉林省水文局,,A,
新安镇(霍林河),20353200,江桥以下,松原市,霍林河,,降水,长岭县新安镇,123,52,,44,3,,吉林省水文局,,A,
新吐列毛都(二),11400172,江桥以下,兴安盟,霍林河,4462,水位、径流,科右中旗吐列毛都镇,120,53,,45,32,,内蒙古水文总局,,A,
兴隆山,11420530,江桥以下,白城市,霍林河,,降水,通榆县兴隆山镇,122,26,,44,50,,吉林省水文局,,A,
瞻榆,11420550,江桥以下,白城市,霍林河,,降水,通榆县瞻榆镇,122,39,,44,31,,吉林省水文局,,A,
张家窝堡,11420560,江桥以下,白城市,霍林河,,降水,洮南市安定乡,122,37,,45,11,,吉林省水文局,,A,
重新,,江桥以下,松原市,霍林河,,降水,前郭县重新乡,124,27,,45,4,,吉林省水文局,,A,
塔子城,11320950,江桥以下,齐齐哈尔市,呼尔达河,,降水,黑龙江省泰来县塔子城镇,123,03,20,46,36,25,黑龙江省水文局,,A,
泰来,11420000,江桥以下,齐齐哈尔市,嫩江,,降水、蒸发,黑龙江省泰来县泰来镇,123,25,00,46,23,30,黑龙江省气象局,,A,
安达,11020210,江桥以下,绥化市,江北湿地,,降水,黑龙江省安达市安达镇,125,19,29,46,24,45,黑龙江省气象局,,A,
崇德,11020010,江桥以下,绥化市,江北湿地,,降水,黑龙江省明水县崇德乡,125,35,36,47,16,49,黑龙江省水文局,,A,
大同,11020240,江桥以下,大庆市,江北湿地,,降水,黑龙江省大庆市大同区,124,48,10,46,02,47,黑龙江省水文局,,A,
复兴,11020140,江桥以下,绥化市,江北湿地,,降水,黑龙江省安达市太平庄乡,125,23,29,46,48,44,黑龙江省水文局,,A,
喇嘛甸子,11020150,江桥以下,绥化市,江北湿地,,降水,黑龙江省大庆市庆寨乡,124,46,31,46,42,05,黑龙江省水文局,,A,
明水,11020120,江桥以下,绥化市,大青岗碱沟,,降水,黑龙江省明水县明水镇,125,53,34,47,10,57,黑龙江省气象局,,A,
太阳升,11020070,江桥以下,绥化市,大青岗碱沟,,降水,黑龙江省明水县育林乡,125,41,38,47,07,19,黑龙江省水文局,,A,
薛家屯,11020080,江桥以下,绥化市,大青岗碱沟,,降水,黑龙江省明水县友爱乡,125,47,29,47,12,36,黑龙江省水文局,,A,
中和,11020130,江桥以下,绥化市,江北湿地,,降水,黑龙江省青冈县中和乡,125,42,48,46,52,28,黑龙江省水文局,,A,
昌五,11020230,江桥以下,绥化市,江北湿地,,降水,黑龙江省肇东市昌五镇,125,35,43,46,0,49,黑龙江省水文局,,A,
青冈,11020160,江桥以下,绥化市,江北湿地,,降水,黑龙江省青冈县,126,05,00,46,41,00,黑龙江省气象局,,A,
任民,11020170,江桥以下,绥化市,江北湿地,,降水,黑龙江省安达市任民镇,125,32,36,46,38,00,黑龙江省水文局,,A,
王家烧锅,11020200,江桥以下,绥化市,江北湿地,,降水,黑龙江省兰西县燎原乡,125,49,38,46,32,37,黑龙江省水文局,,A,
肇东,11020220,江桥以下,绥化市,江北湿地,,降水,黑龙江省肇东县肇东镇,125,57,48,46,03,24,黑龙江省气象局,,A,
白沙滩,11200131,江桥以下,白城市,嫩江,,降雨、水位,镇赉县丹岱乡,123,52,,46,18,,吉林市省水文总局,,A,
大赉(二),11200151,江桥以下,白城市,嫩江,221715,降雨、水位、径流、蒸发、泥沙,大安市安北街,124,16,,45,33,,吉林市省水文总局,,A,
大兴,11020260,江桥以下,大庆市,江北湿地,,降水,黑龙江省肇源县大兴乡,124,38,12,45,46,28,黑龙江省水文局,,A,
他拉哈,11420006,江桥以下,齐齐哈尔市,嫩江,,降水,黑龙江省杜蒙自治县红旗种畜场,124,07,20,46,04,10,黑龙江省水文局,,A,
安口镇,10844600,丰满以上,通化市,一统河,,降水,柳河县安口镇乡,125,36,,42,8,,吉林省水文局,,A,
八道河子,10852200,丰满以上,吉林市,金沙河,,降水,桦甸市八道河子镇,126,30,,43,13,,吉林省水文局,,A,
大阳,10842000,丰满以上,辽源市,梅河,289,水位、径流、降水,东丰县大阳镇,125,25,,42,30,,吉林市省水文总局,,A,
东丰,10842600,丰满以上,辽源市,莲河,481,水位、径流、泥沙、降水、蒸发,东丰县城区,125,31,,42,40,,吉林市省水文总局,,A,
抚民,10850400,丰满以上,通化市,蛤蟆河,,降水,辉南县抚民镇,126,24,,42,30,,吉林省水文局,,A,
孤山子,10812400,丰满以上,通化市,三统河,981,"降水、水位、
径流、",柳河县孤山子镇,126,01,,42,13,,吉林市省水文总局,,A,
海龙,10810400,丰满以上,通化市,辉发河,3566,"蒸发、降水、
水位、径流",梅河口市海龙镇,125,52,,42,39,,吉林市省水文总局,,A,
海龙水库,10810200,丰满以上,通化市,杨树河,541,"蒸发、降水、
水位、径流",梅河口市吉乐乡,125,20,,42,16,,吉林市省水文总局,,A,
黑石镇,10851200,丰满以上,吉林市,辉发河,,降水,磐石县黑石镇,126,30,,42,50,,吉林省水文局,,A,
猴石,10842400,丰满以上,辽源市,莲河,,降水,东丰县猴石镇,125,19,,42,38,,吉林省水文局,,A,
辉发城,10810600,丰满以上,通化市,辉发河,8762,"蒸发、降水、
水位、径流",辉南县永康乡,126,11,,42,44,,吉林市省水文总局,,A,
辉南,10813400,丰满以上,通化市,蛤蟆河,476,"降水、水位、
径流、",辉南县辉南镇,126,16,,42,37,,吉林市省水文总局,,A,
姜家街,10840600,丰满以上,通化市,杨树河,,降水,梅河口市姜家街乡,125,20,,42,11,,吉林省水文局,,A,
柳河,10812200,丰满以上,通化市,一统河,622,"蒸发、降水、
水位、径流
",柳河县柳河镇,125,43,,42,17,,吉林市省水文总局,,A,
龙头(辉发河),10841000,丰满以上,辽源市,横道河,,降水,东丰县横道河镇,125,14,,42,24,,吉林省水文局,,A,
萝卜地,10846400,丰满以上,吉林市,当石河,,降水,磐石县安乐乡,125,56,,43,02,,吉林省水文局,,A,
民立,10813800,丰满以上,吉林市,金沙河,1037,降水、水位、流量、泥沙,桦甸市金沙乡,126,45,,43,08,,吉林市省水文总局,,A,
磐石,10813000,丰满以上,吉林市,当石河,471,降水、水位、流量,磐石县磐石镇,126,04,,42,55,,吉林市省水文总局,,A,
三源浦,10845000,丰满以上,通化市,三统河,,降水,柳河县三源浦镇,125,25,,42,4,,吉林省水文局,,A,
五道沟,10811000,丰满以上,吉林市,辉发河,12391,降水、蒸发、水位、流量、泥沙,桦甸县桦郊乡,126,38,,42,53,,吉林市省水文总局,,A,
向阳,10844400,丰满以上,通化市,一统河,,降水,柳河县向阳乡,125,37,,42,2,,吉林省水文局,,A,
杨木林,10842200,丰满以上,辽源市,莲河,,降水,东丰县杨木林镇,125,08,,42,38,,吉林省水文局,,A,
样子哨,10812600,丰满以上,通化市,三统河,1957,"降水、水位、
径流、泥沙",辉南县样子哨镇,126,09,,42,27,,吉林市省水文总局,,A,
白山水库,10835600,丰满以上,吉林市,松花江,18916,降水、蒸发、水位、流量,桦甸市白山镇,127,13,,42,44,,白山发电厂,,A,
白石山,10855800,丰满以上,吉林市,蛟河,,降水,蛟河县白石山镇,127,33,,43,35,,吉林省水文局,,A,
北岗,10826800,丰满以上,白山市,头道砬子河,,降水,抚松县北岗镇,127,32,,42,25,,吉林省水文局,,A,
常山屯,10856200,丰满以上,吉林市,蚂蚁河,,降水,桦甸市常山镇,126,50,,43,24,,吉林省水文局,,A,
大甸子,10802400,丰满以上,延边朝鲜族自治州,古洞河,1710,降水、水位、径流,安图县万宝镇,128,19,,42,52,,吉林市省水文总局,,A,
大蒲柴河,10803200,丰满以上,延边朝鲜族自治州,富尔河,1111,降水、水位、径流,敦化市大蒲柴河镇,128,00,,42,52,,吉林市省水文总局,,A,
二道白河,10800300,丰满以上,延边朝鲜族自治州,二道白河,210,降水、水位、径流,安图县二道白河镇,128,07,,42,25,,吉林市省水文总局,,A,
丰满水库,10920200,丰满以上,吉林市,松花江,42500,降水、蒸发、水位、流量,吉林市市丰满区,126,40,,43,44,,丰满发电厂,,A,
高丽城子　,10833000,丰满以上,白山市,头道松花江,4728,水位、泥沙、降水、径流、蒸发,靖宇县榆树川乡,127,14,,42,21,,吉林市省水文总局,,A,
古洞河,10824800,丰满以上,延边朝鲜族自治州,古洞河,,降水,和龙市卧龙乡,128,45,,42,45,,吉林省水文局,,A,
汉阳屯,10800500,丰满以上,延边朝鲜族自治州,二道松花江,8532,降水、水位、径流、泥沙,安图县两江镇,127,57,,42,39,,吉林市省水文总局,,A,
横道子,10814200,丰满以上,吉林市,漂河,532,降水、蒸发、水位、流量,蛟河县横道子乡,127,20,,43,18,,吉林市省水文总局,,A,
红石砬子,10836600,丰满以上,吉林市,松花江,,降水,桦甸市红石乡,127,06,,42,58,,白山发电厂,,A,
蛟河,10814600,丰满以上,吉林市,蛟河,2426,降水、蒸发、水位、流量、泥沙,蛟河县镇郊,127,19,,43,42,,吉林市省水文总局,,A,
靖宇,10833800,丰满以上,白山市,珠子河,390,水位、泥沙、降水、径流、,靖宇县靖宇镇,126,48,,42,23,,吉林市省水文总局,,A,
两江口,10826400,丰满以上,延边朝鲜族自治州,古洞河,,降水、蒸发、水位,安图县两江镇,128,05,,42,39,,吉林省水文总局,,A,
柳树河子,10823600,丰满以上,延边朝鲜族自治州,富尔河,,降水,敦化市大蒲柴河镇,127,47,,42,59,,吉林省水文局,,A,
漫江,10827000,丰满以上,白山市,漫江,,降水,抚松县漫江镇,127,35,,41,57,,吉林省水文局,,A,
那尔轰,10835400,丰满以上,白山市,那尔轰河,,降水,靖宇县那尔轰镇,126,59,,42,42,,吉林省水文局,,A,
琵河,10853200,丰满以上,吉林市,漂河,,降水,蛟河县白石山镇,127,33,,43,25,,吉林省水文局,,A,
三道沟(松上),10821200,丰满以上,延边朝鲜族自治州,五道白河,,降水,安图县三道乡,128,27,,42,32,,吉林省水文局,,A,
松江,10801400,丰满以上,延边朝鲜族自治州,五道白河,1357,蒸发、降水、水位、径流、泥沙,安图县松江镇,128,20,,42,35,,吉林市省水文总局,,A,
松江河,10832000,丰满以上,白山市,松江河,654,水位、降水、径流、蒸发,抚松县松江河镇,127,30,,42,11,,吉林市省水文总局,,A,
松树镇,10831200,丰满以上,白山市,汤河,,降水,江源县松树镇,127,7,,42,3,,吉林省水文局,,A,
天池,10820200,丰满以上,延边朝鲜族自治州,二道白河,,降水,安图县二道白河镇,128,04,,42,04,,吉林省水文局,,A,
头道花园,10833200,丰满以上,白山市,头道花园河,,降水,靖宇县燕平乡,126,55,,42,16,,吉林省水文局,,A,
退团,10854800,丰满以上,吉林市,蛟河,,降水,蛟河县前进乡,127,40,,43,55,,吉林省水文局,,A,
板石庙,10950600,丰满以下,四平市,伊通何,,降水,伊通县板石庙乡,125,36,,43,08,,吉林省水文局,,A,
范家屯,10953800,丰满以下,四平市,新凯河,,降水,公主岭市范家屯镇,125,04,,43,43,,吉林省水文局,,A,
伏龙泉,10957000,丰满以下,长春市,伊通河,,降水,农安县伏龙泉镇,124,37,,44,23,,吉林省水文局,,A,
六家子,10954400,丰满以下,四平市,翁克河,,降水,公主岭市怀德镇,124,50,,43,54,,吉林省水文局,,A,
农安,10955000,丰满以下,长春市,伊通河,,水位、径流、降水、泥沙,农安县农安镇,125,11,,44,25,,吉林市省水文总局,,A,
双城堡,10954800,丰满以下,四平市,宝泉河,,降水,公主岭市双城堡镇,124,41,,44,05,,吉林省水文局,,A,
顺山堡,10954200,丰满以下,长春市,伊通河,,水位、径流、降水,农安县烧锅镇,125,01,,43,57,,吉林市省水文总局,,A,
太平池水库,10954600,丰满以下,长春市,伊通河,,水位、径流、降水,农安县龙王乡,124,57,,44,04,,吉林市省水文总局,,A,
新立城水库,10952600,丰满以下,长春市,伊通河,,水位、径流、降水、泥沙,长春市郊区新立城镇,125,21,,43,42,,吉林市省水文总局,,A,
伊通,10914000,丰满以下,四平市,伊通河,574,"降水、水位、
径流、泥沙",伊通县伊通镇,125,18,,43,21,,吉林市省水文总局,,A,
长岭,10942400,丰满以下,长春市,饮马河,,降水,长岭县城区,125,53,,43,36,,吉林省水文局,,A,
德惠,10949200,丰满以下,长春市,饮马河,,水位、径流、降水、泥沙,德惠县松柏乡,125,42,,44,31,,吉林市省水文总局,,A,
九台,10947600,丰满以下,长春市,饮马河,,水位、径流、降水,九台县城区,125,50,,44,09,,吉林市省水文总局,,A,
石头口门水库,10946200,丰满以下,长春市,饮马河,,水位、径流、降水、泥沙,九台县西营城镇,125,45,,43,58,,吉林市省水文总局,,A,
双河镇,10945600,丰满以下,吉林市,岔路河,,降水,永吉县双河镇,126,10,,43,28,,吉林省水文局,,A,
土们岭,10946400,丰满以下,长春市,小南河,,降水,九台县土们岭镇,126,03,,44,06,,吉林省水文局,,A,
新安(饮马河),10944200,丰满以下,长春市,饮马河,,水位、径流、降水、泥沙,长春市双阳区,125,42,,43,44,,吉林市省水文总局,,A,
星星哨水库,10912400,丰满以下,吉林市,岔路河,845,降水、蒸发、水位、流量、泥沙,永吉县岔路河镇,126,03,,43,40,,吉林市省水文总局,,A,
亚机,10940200,丰满以下,吉林市,饮马河,,降水,磐石县大旺乡,125,45,,43,09,,吉林省水文局,,A,
烟筒山(饮马河),10910200,丰满以下,吉林市,饮马河,1120,降水、蒸发、水位、流量,磐石市烟筒山镇,126,01,,43,17,,吉林市省水文总局,,A,
半拉山子,10926800,丰满以下,长春市,松花江,,降水,榆树县大坡镇,126,25,,44,33,,吉林省水文局,,A,
浮家桥,10930750,丰满以下,长春市,松花江,,水位、径流、降水、泥沙,德惠县相树乡,126,01,,44,32,,吉林市省水文总局,,A,
桦皮厂,10903000,丰满以下,吉林市,鳌龙河,1047,降水、水位、流量,永吉县桦皮厂镇,126,14,,44,00,,吉林市省水文总局,,A,
吉林市,10900300,丰满以下,吉林市,松花江,44060,降水、水位、流量、泥沙,吉林市市市区,126,33,,43,50,,吉林市省水文总局,,A,
口前,10902200,丰满以下,吉林市,五里河,830,降水、水位、流量、泥沙,永吉县口前镇,126,29,,43,40,,吉林市省水文总局,,A,
六道河,10923600,丰满以下,吉林市,忙牛河,,降水,蛟河县天岗镇,127,04,,43,56,,吉林省水文局,,A,
芦家,10926600,丰满以下,长春市,松花江,,降水,九台县芦家乡,126,11,,44,17,,吉林省水文局,,A,
深井子,,丰满以下,松原市,松花江,,降水,前郭县深井子镇,124,32,,44,48,,吉林省水文局,,A,
石屯,10925800,丰满以下,长春市,松花江,,降水,九台县莽卡满族乡,126,27,,44,10,,吉林省水文局,,A,
松花江,10931800,丰满以下,长春市,松花江,,水位、径流、降水、泥沙,德惠县松花江镇,125,55,,44,46,,吉林市省水文总局,,A,
搜登,10925000,丰满以下,吉林市,鳌龙河,,降水,永吉县搜登站乡,126,13,,43,50,,吉林省水文局,,A,
太平山,10930600,丰满以下,长春市,松花江,,降水,德惠县大青咀镇,125,59,,44,27,,吉林省水文局,,A,
王府,10958400,丰满以下,松原市,咚勒赫沟,,降水,前郭县王府镇,125,0,,44,52,,吉林省水文局,,A,
