OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Nanchang Fu,南昌府,南昌府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangxi,江西,0.000000000000000,POLYGON,1988,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,115.863020000000006,28.634770000000000,22087.5996094
,Raozhou Fu,饶州府,饒州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangxi,江西,0.000000000000000,POLYGON,1999,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,117.206260000000000,28.994199999999999,15854.7998047
,Hangzhou Fu,杭州府,杭州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,0.000000000000000,POLYGON,2017,FROM_FD,满志敏,满志敏, ,2002/06/23,119.840530000000001,30.151830000000000,7634.0600586
,Yanzhou Fu,严州府,嚴州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,0.000000000000000,POLYGON,2019,FROM_FD,满志敏,满志敏, ,2002/06/23,119.153279999999995,29.621919999999999,8706.8095703
,Zhaoqing Fu,肇庆府,肇慶府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2048,FROM_FD,满志敏,满志敏, ,2002/10/31,112.156260000000003,22.738890000000001,25257.8007813
,Chaozhou Fu,潮州府,潮州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2049,FROM_FD,满志敏,满志敏, ,2002/10/31,116.467269999999999,23.783290000000001,15171.5996094
,Taizhou Fu,台州府,台州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,1.000000000000000,POLYGON,2013,FROM_FD,满志敏,满志敏, ,2002/06/23,121.094459999999998,28.886510000000001,11048.5000000
,Quzhou Fu,衢州府,衢州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,1.000000000000000,POLYGON,2015,FROM_FD,满志敏,满志敏, ,2002/06/23,118.684259999999995,28.869620000000001,9001.7099609
,Jinhua Fu,金华府,金華府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,1.000000000000000,POLYGON,2016,FROM_FD,满志敏,满志敏, ,2002/06/23,120.005179999999996,29.220970000000001,9993.0000000
,Shaoxing Fu,绍兴府,紹興府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,1.000000000000000,POLYGON,2021,FROM_FD,满志敏,满志敏, ,2002/06/23,120.781630000000007,29.807430000000000,11130.0996094
,Ningpo Fu,宁波府,寧波府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江,1.000000000000000,POLYGON,2014,FROM_FD,满志敏,满志敏, ,2002/06/23,121.759469999999993,29.767579999999999,6469.1801758
,Bin Zhou,邠州,邠州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西,0.000000000000000,POLYGON,1841,FROM_FD,满志敏,满志敏, ,2002/06/25,108.234520000000003,35.016939999999998,3934.6699219
,Qian Zhou,乾州,乾州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西,0.000000000000000,POLYGON,1842,FROM_FD,满志敏,满志敏, ,2002/06/25,108.172920000000005,34.581699999999998,2337.0700684
,Hanzhong Fu,汉中府,漢中府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shanxi,陕西,0.000000000000000,POLYGON,1834,FROM_FD,满志敏,满志敏, ,2002/06/25,106.883949999999999,33.223269999999999,29242.5000000
,Caozhou Fu,曹州府,曹州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Shandong,山东,0.000000000000000,POLYGON,2045,FROM_TAN, ,傅林祥/,邹逸麟,2001/06/30,115.768649999999994,35.414569999999998,12161.2998047
